datetime,city,country,latitude,longitude,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,surface_pressure,uv_index,dew_point_2m,pm10,pm25,nitrogen_dioxide,sulphur_dioxide,ozone
2023-01-01T00:00:00,Paris,France,48.8566,2.3522,20.89,39.2,22.39,1.64,1.24,1013.5,4.21,8.71,12.9,8.8,21.2,8.3,31.3
2023-01-01T01:00:00,Tokyo,Japan,35.6762,139.6503,21.7,42.8,22.44,0.03,4.38,1009.8,3.3,11.49,26.9,2.7,12.2,10.1,23.7
2023-01-01T02:00:00,Sao Paulo,Brazil,-23.5558,-46.6396,16.21,68.6,20.49,0.29,2.47,1019.4,7.82,9.82,16.2,0.5,21.7,11.8,23.6
2023-01-01T03:00:00,Tokyo,Japan,35.6762,139.6503,16.04,64.6,16.27,0.09,5.06,1020.1,5.17,9.25,42.6,0.0,12.4,6.1,13.6
2023-01-01T04:00:00,Los Angeles,USA,34.0522,-118.2437,17.99,89.9,16.26,0.17,3.66,1014.0,6.47,16.68,51.9,14.9,14.3,13.0,14.8
2023-01-01T05:00:00,Beijing,China,39.9042,116.4074,12.98,37.3,11.15,1.2,6.23,1006.9,5.4,1.08,41.8,10.7,18.7,11.3,8.7
2023-01-01T06:00:00,London,UK,51.5074,-0.1278,13.38,69.7,12.44,0.71,5.62,1020.0,4.75,6.91,28.4,0.0,3.4,2.7,10.0
2023-01-01T07:00:00,Delhi,India,28.65195,77.23149,21.36,41.9,20.61,0.2,6.34,1000.8,4.49,8.79,47.2,16.0,13.2,16.1,13.5
2023-01-01T08:00:00,Sao Paulo,Brazil,-23.5558,-46.6396,11.17,31.1,11.32,0.02,4.55,1031.2,4.4,-3.63,36.6,10.3,27.4,12.1,21.8
2023-01-01T09:00:00,Beijing,China,39.9042,116.4074,26.68,36.2,25.4,0.02,1.06,1019.6,4.44,12.45,27.7,19.6,30.7,20.8,41.6
2023-01-01T10:00:00,Tokyo,Japan,35.6762,139.6503,21.43,40.2,17.17,0.97,3.46,1004.7,4.65,10.54,33.1,7.4,6.7,1.3,15.1
2023-01-01T11:00:00,Delhi,India,28.65195,77.23149,19.09,95.4,19.35,0.17,1.54,1000.4,3.19,20.29,37.6,37.8,19.8,18.1,15.0
2023-01-01T12:00:00,Tokyo,Japan,35.6762,139.6503,18.58,59.2,17.27,1.15,1.44,996.7,5.43,12.0,33.2,11.8,17.3,13.2,22.2
2023-01-01T13:00:00,Sao Paulo,Brazil,-23.5558,-46.6396,12.09,82.1,12.95,2.24,1.44,995.6,9.13,10.24,29.4,9.8,28.2,4.4,9.2
2023-01-01T14:00:00,Beijing,China,39.9042,116.4074,22.58,52.1,22.57,0.54,8.02,1013.1,6.61,10.95,47.0,3.4,14.2,9.3,9.2
2023-01-01T15:00:00,Beijing,China,39.9042,116.4074,23.94,33.5,24.0,0.22,7.01,1018.5,8.34,10.48,34.1,5.8,25.9,13.5,1.7
2023-01-01T16:00:00,Tokyo,Japan,35.6762,139.6503,19.82,64.6,24.85,0.26,3.78,994.4,3.52,13.04,54.1,11.3,9.8,0.0,18.4
